,A,B,C
0,0,0.454065521419,0
1,1,-0.916356098021,2
2,2,-0.796284383354,4
3,3,0.0446109868288,6
4,4,2.05867350299,8
5,5,0.568305780905,10
6,6,1.58575981119,12
7,7,0.258210281794,14
8,8,-0.515409434728,16
9,9,1.7764565461,18
10,10,1.7141513135,20
11,11,1.23956197922,22
12,12,-0.946117557031,24
13,13,1.21126423419,26
14,14,-0.625366572156,28
15,15,-1.52007886273,30
16,16,-0.613846669812,32
17,17,0.988648084197,34
18,18,-0.427504370932,36
19,19,-0.251495228646,38
20,20,0.487693763258,40
21,21,1.84970677866,42
22,22,-2.13934339546,44
23,23,-2.12807608345,46
24,24,-0.305605461437,48
25,25,-0.0928890617855,50
26,26,-2.40110557846,52
27,27,-1.47036719411,54
28,28,-1.59160901151,56
29,29,1.38023030473,58
30,30,0.887037240645,60
31,31,-0.624346246888,62
32,32,-0.94889695333,64
33,33,0.256179073899,66
34,34,-0.934869828595,68
35,35,0.256326601721,70
36,36,1.3859220093,72
37,37,1.81761325138,74
38,38,-0.465433936038,76
39,39,-0.333633240564,78
40,40,0.806369633616,80
41,41,-1.36043107127,82
42,42,-0.152692097695,84
43,43,-0.0810507446162,86
44,44,-1.67317939144,88
45,45,-0.540503546034,90
46,46,0.909064022052,92
47,47,-0.40058954553,94
48,48,0.0322412007492,96
49,49,-0.707292301596,98
50,50,0.1046120906,100
51,51,-0.0808352275918,102
52,52,0.773771361809,104
53,53,-0.15554969262,106
54,54,1.18167136894,108
55,55,-0.317903258988,110
56,56,-1.19784620444,112
57,57,1.42301162622,114
58,58,0.126421799229,116
59,59,0.777647811954,118
60,60,-0.408371297554,120
61,61,0.409617543612,122
62,62,1.32994560766,124
63,63,-0.516369842649,126
64,64,0.357103035478,128
65,65,-0.358673070168,130
66,66,-1.24383068088,132
67,67,-2.32397122635,134
68,68,1.41218499304,136
69,69,-1.45940581842,138
70,70,-0.486669828729,140
71,71,0.0137700097074,142
72,72,1.00587704126,144
73,73,-0.829788526037,146
74,74,-0.361027850839,148
75,75,0.510364108831,150
76,76,0.153146443884,152
77,77,-0.860292721022,154
78,78,-0.79945497332,156
79,79,0.235201330835,158
80,80,1.72989382959,160
81,81,-1.54471792821,162
82,82,-1.35577237021,164
83,83,1.16262875473,166
84,84,1.12255090876,168
85,85,1.29922183869,170
86,86,-1.02248320231,172
87,87,0.0608597599397,174
88,88,0.377368730302,176
89,89,-0.768760621436,178
90,90,-0.12761878528,180
91,91,0.115815279245,182
92,92,0.321906977492,184
93,93,-0.243804097746,186
94,94,1.51453640432,188
95,95,1.02133485884,190
96,96,0.110939141418,192
97,97,-0.426643844727,194
98,98,-0.854071361087,196
99,99,0.815698354705,198
100,100,-1.18414682186,200
101,101,0.528838830374,202
102,102,-0.449177266722,204
103,103,-0.144324270275,206
104,104,-0.660416889939,208
105,105,-1.22962529897,210
106,106,0.0193745201134,212
107,107,0.10406976104,214
108,108,-0.803022431106,216
109,109,-0.66810544907,218
110,110,-1.4288897627,220
111,111,-0.682884941929,222
112,112,0.721002227049,224
113,113,0.429710065018,226
114,114,-0.7696819064,228
115,115,0.746973722223,230
116,116,-0.885707736721,232
117,117,-1.1897631257,234
118,118,-1.43379816236,236
119,119,-0.380003589039,238
120,120,-0.544020133784,240
121,121,-0.342192536029,242
122,122,0.124835085375,244
123,123,0.222085747348,246
124,124,1.25807868725,248
125,125,-0.392833502885,250
126,126,-0.518867192808,252
127,127,1.15432709748,254
128,128,2.17211762906,256
129,129,0.422424323749,258
130,130,0.663902131089,260
131,131,0.358720477314,262
132,132,-0.159031135799,264
133,133,0.736988871232,266
134,134,-0.581028176185,268
135,135,0.565794234388,270
136,136,-1.31394767951,272
137,137,0.339945919395,274
138,138,1.00584580192,276
139,139,-0.158803374573,278
140,140,0.197513556177,280
141,141,-0.450420462656,282
142,142,-0.466131367048,284
143,143,-0.752373182735,286
144,144,0.435343921838,288
145,145,-0.542626305223,290
146,146,-1.17540137712,292
147,147,-0.0705243787409,294
148,148,-1.27262541172,296
149,149,1.22429986024,298
150,150,0.505918108955,300
151,151,0.530890326926,302
152,152,0.573350269478,304
153,153,-0.134464529779,306
154,154,0.587190885078,308
155,155,0.484105397936,310
156,156,0.420081319162,312
157,157,-0.16205414698,314
158,158,0.0639328946126,316
159,159,-1.32376620431,318
160,160,-2.0832526077,320
161,161,-0.179964686371,322
162,162,0.146732274388,324
163,163,1.00177971012,326
164,164,-0.345781605869,328
165,165,-0.0777004130002,330
166,166,2.46110664074,332
167,167,0.764561311709,334
168,168,-0.402009929692,336
169,169,0.478593088809,338
170,170,0.943854726118,340
171,171,0.985932001941,342
172,172,-0.584753145333,344
173,173,0.338887369196,346
174,174,-0.597329168226,348
175,175,-0.568621332443,350
176,176,-0.385565180417,352
177,177,-0.766306805968,354
178,178,1.33443326497,356
179,179,-0.709465029169,358
180,180,-1.37979952153,360
181,181,-0.507174460258,362
182,182,0.54118795695,364
183,183,-0.970253693301,366
184,184,2.30193542504,368
185,185,-0.0693103403711,370
186,186,1.41094507043,372
187,187,-1.59420230323,374
188,188,0.329418176052,376
189,189,0.478865108105,378
190,190,-1.55725771767,380
191,191,0.647122391424,382
192,192,2.26696799426,384
193,193,1.43157435034,386
194,194,0.595649723609,388
195,195,-1.19281804834,390
196,196,0.862579571768,392
197,197,0.0357658898551,394
198,198,-1.89550253723,396
199,199,1.2321907024,398
200,200,-0.625815683687,400
201,201,-0.00460995357997,402
202,202,-0.37884770728,404
203,203,1.36165998383,406
204,204,-1.06047544677,408
205,205,0.510999911071,410
206,206,0.928032587644,412
207,207,-0.52686055899,414
208,208,0.28048084651,416
209,209,-0.608169519298,418
210,210,0.152519766143,420
211,211,-0.911439079148,422
212,212,-0.266569901509,424
213,213,0.193454687052,426
214,214,-0.728177755767,428
215,215,1.26252479931,430
216,216,0.415450664703,432
217,217,0.302785658772,434
218,218,-0.100863123955,436
219,219,0.343484141111,438
220,220,0.382361727113,440
221,221,0.189941232567,442
222,222,-0.105679937977,444
223,223,1.5360058684,446
224,224,0.549130225515,448
225,225,-1.05700717,450
226,226,-1.04930776188,452
227,227,1.21265094759,454
228,228,0.129484365731,456
229,229,-1.50502291329,458
230,230,0.39454967027,460
231,231,1.25215317373,462
232,232,-0.581929354563,464
233,233,-0.81389223926,466
234,234,-1.23948463419,468
235,235,-1.34639864701,470
236,236,0.868923998194,472
237,237,1.62288803662,474
238,238,-0.565080490951,476
239,239,0.614269288605,478
240,240,0.754213538258,480
241,241,0.665079624913,482
242,242,-0.259711742677,484
243,243,0.192545625546,486
244,244,1.7957966154,488
245,245,0.201728937494,490
246,246,0.878441903109,492
247,247,0.881506338728,494
248,248,0.11299053634,496
249,249,0.611159615413,498
250,250,-0.333100159396,500
251,251,-0.604200480057,502
252,252,0.132049163281,504
253,253,-0.468301991675,506
254,254,-0.578915114257,508
255,255,0.00248049073804,510
256,256,1.04652740584,512
257,257,1.72285005167,514
258,258,-0.979655132715,516
259,259,3.04606175698,518
260,260,-0.799064476628,520
261,261,1.95844259863,522
262,262,-1.30363939827,524
263,263,1.54256955933,526
264,264,-0.956135447725,528
265,265,0.887938753543,530
266,266,-0.142734054116,532
267,267,0.109078947863,534
268,268,1.90152773343,536
269,269,0.346998068369,538
270,270,-0.137334924528,540
271,271,0.453406024225,542
272,272,0.856270233853,544
273,273,-0.463623942663,546
274,274,0.999349735185,548
275,275,0.229951168857,550
276,276,-0.333088728243,552
277,277,0.0315295460531,554
278,278,0.876475463967,556
279,279,0.783581304598,558
280,280,1.99959297414,560
281,281,-0.106475434505,562
282,282,-0.822060599913,564
283,283,0.67698806627,566
284,284,-0.573956284923,568
285,285,-0.825332738287,570
286,286,-0.0995279069571,572
287,287,-0.786873618292,574
288,288,0.0889766763468,576
289,289,-0.205579152531,578
290,290,0.565480712932,580
291,291,0.0294614350738,582
292,292,-1.02452512392,584
293,293,0.558573738462,586
294,294,0.672907791318,588
295,295,-0.925775026285,590
296,296,0.738389215946,592
297,297,0.385319809216,594
298,298,-0.281603416465,596
299,299,0.0228289816601,598
300,300,0.0339356458616,600
301,301,2.33395166972,602
302,302,-0.404773931811,604
303,303,0.189196283392,606
304,304,-0.286686388009,608
305,305,1.27625582672,610
306,306,-1.64538836529,612
307,307,-0.444590711945,614
308,308,-0.164691775134,616
309,309,-0.958486684148,618
310,310,-1.75455064742,620
311,311,-0.997601429443,622
312,312,0.822216901164,624
313,313,0.817634789684,626
314,314,0.251043681096,628
315,315,0.68207920635,630
316,316,-0.140405002393,632
317,317,-0.272208927511,634
318,318,-0.345870553583,636
319,319,-0.351844233009,638
320,320,-0.519274624277,640
321,321,-0.50328395603,642
322,322,0.293860018141,644
323,323,0.706605049587,646
324,324,0.695865090445,648
325,325,-0.850351770902,650
326,326,-0.191984608327,652
327,327,-0.635085810312,654
328,328,-0.418417690448,656
329,329,-0.499329614993,658
330,330,-0.874745401681,660
331,331,-0.656721919074,662
332,332,1.84223825569,664
333,333,-0.94701464453,666
334,334,1.44983625272,668
335,335,1.11812675082,670
336,336,0.576029423606,672
337,337,-0.589226693151,674
338,338,0.94573606491,676
339,339,-1.03517425027,678
340,340,2.48296545104,680
341,341,1.17055661615,682
342,342,0.299178543698,684
343,343,-1.57351714283,686
344,344,0.390664654165,688
345,345,0.116384091007,690
346,346,0.805391366985,692
347,347,0.864100177302,694
348,348,0.784903953062,696
349,349,0.370160310765,698
350,350,1.14489164254,700
351,351,0.100118286629,702
352,352,1.1960868634,704
353,353,0.616686313367,706
354,354,0.632826999081,708
355,355,1.16830553269,710
356,356,-0.927993010173,712
357,357,-1.62227478001,714
358,358,-1.3953442944,716
359,359,0.919674647745,718
360,360,1.84522083562,720
361,361,0.146013670618,722
362,362,0.628430462211,724
363,363,-0.0692986560978,726
364,364,0.963837916677,728
365,365,-0.740042548609,730
366,366,-0.757944021051,732
367,367,-1.16999216874,734
368,368,-0.726027488071,736
369,369,0.20155548396,738
370,370,-0.938766045456,740
371,371,-0.449175514601,742
372,372,0.670259709665,744
373,373,0.0676379844248,746
374,374,-0.12933106487,748
375,375,-1.00613698156,750
376,376,-0.883845819031,752
377,377,1.92099625544,754
378,378,-0.782142861769,756
379,379,0.232142469141,758
380,380,-0.831810550183,760
381,381,0.330352275507,762
382,382,0.726692398747,764
383,383,-1.84002711146,766
384,384,-0.534429893008,768
385,385,-0.152274961901,770
386,386,-0.654473837732,772
387,387,-0.39927711688,774
388,388,-0.55588332583,776
389,389,0.617939360526,778
390,390,-0.0615327901734,780
391,391,1.24331418991,782
392,392,-0.067838227382,784
393,393,-1.84564441359,786
394,394,0.374274981974,788
395,395,-1.16643915061,790
396,396,-2.10548670074,792
397,397,-1.43672110726,794
398,398,-0.423420851359,796
399,399,0.0370391521471,798
400,400,1.03966075281,800
401,401,0.873392451495,802
402,402,-0.58536524443,804
403,403,0.465807277297,806
404,404,0.0754306695251,808
405,405,-0.767021961851,810
406,406,0.570058021364,812
407,407,-1.54407863135,814
408,408,0.841974758315,816
409,409,-0.112613199072,818
410,410,1.03101075083,820
411,411,-2.97661762046,822
412,412,-0.0297292210082,824
413,413,-1.48604828386,826
414,414,-2.69377412168,828
415,415,0.0434288880487,830
416,416,0.335321397822,832
417,417,-1.74327944511,834
418,418,0.154442547236,836
419,419,-0.30188372468,838
420,420,-0.0905784793093,840
421,421,-0.407538641104,842
422,422,-1.96647911345,844
423,423,-0.0176861742927,846
424,424,-1.08122343581,848
425,425,-1.05041566705,850
426,426,1.49427138744,852
427,427,-2.18475487703,854
428,428,-1.1915547123,856
429,429,1.38818597307,858
430,430,-1.13471966088,860
431,431,0.49831111629,862
432,432,1.68552069509,864
433,433,-1.27690708599,866
434,434,1.23485042721,868
435,435,-0.529851474573,870
436,436,1.71410382054,872
437,437,0.131614450532,874
438,438,-0.57481430288,876
439,439,-1.3747099936,878
440,440,0.0253146839122,880
441,441,0.290343851165,882
442,442,-0.994694647193,884
443,443,0.368692245791,886
444,444,1.66683267104,888
445,445,0.450627191891,890
446,446,-0.580622861481,892
447,447,0.94959210275,894
448,448,-0.146072641853,896
449,449,-0.138895729681,898
450,450,0.0374585985003,900
451,451,1.64906680247,902
452,452,1.61470561469,904
453,453,-1.05937507507,906
454,454,-0.588954006184,908
455,455,-0.899822603265,910
456,456,1.65696172677,912
457,457,1.41784874116,914
458,458,1.78209856081,916
459,459,1.27769103464,918
460,460,0.326301667636,920
461,461,-0.886548687574,922
462,462,-0.784557253522,924
463,463,0.0956655134739,926
464,464,0.671700980094,928
465,465,-0.608250123755,930
466,466,-0.0158142080453,932
467,467,0.273506352664,934
468,468,0.580816343394,936
469,469,-0.490731811422,938
470,470,0.113433329782,940
471,471,-0.305103171097,942
472,472,-0.680596736799,944
473,473,-0.475710537296,946
474,474,0.0345227402811,948
475,475,-0.491941725488,950
476,476,1.79616731435,952
477,477,2.115150769,954
478,478,1.523417121,956
479,479,0.591081265223,958
480,480,0.396698388208,960
481,481,-0.126696759617,962
482,482,0.622372499736,964
483,483,1.6482332844,966
484,484,-1.39359738589,968
485,485,-0.51383754333,970
486,486,0.704103625845,972
487,487,1.11166057711,974
488,488,0.923699081601,976
489,489,0.292780857345,978
490,490,0.162716413862,980
491,491,1.53308412969,982
492,492,0.183075667717,984
493,493,-0.691076102684,986
494,494,0.834376190157,988
495,495,0.43777968713,990
496,496,0.315441378393,992
497,497,-1.26789604479,994
498,498,0.480781459091,996
499,499,-0.568415664628,998
500,500,0.296555327143,1000
501,501,1.04725448086,1002
502,502,1.46182694077,1004
503,503,1.25617184253,1006
504,504,0.947495303866,1008
505,505,-1.08820609691,1010
506,506,1.46749238011,1012
507,507,-0.157139427421,1014
508,508,0.20871607928,1016
509,509,-1.09796816138,1018
510,510,0.349327660138,1020
511,511,-1.42013193319,1022
512,512,0.724338664176,1024
513,513,-1.00126360584,1026
514,514,-1.61579342929,1028
515,515,-0.128373607478,1030
516,516,0.042728582043,1032
517,517,1.4021334943,1034
518,518,0.831568042264,1036
519,519,1.39667366212,1038
520,520,-1.19734949309,1040
521,521,-0.362939960069,1042
522,522,-0.293176991268,1044
523,523,-1.79763784142,1046
524,524,-1.68165491243,1048
525,525,0.234151634403,1050
526,526,-0.062154793482,1052
527,527,-0.674610744268,1054
528,528,0.442316442125,1056
529,529,1.18604133456,1058
530,530,-0.777036347882,1060
531,531,-0.134440554201,1062
532,532,0.820394143857,1064
533,533,0.692189916169,1066
534,534,0.60179703002,1068
535,535,0.174871967758,1070
536,536,1.51663548172,1072
537,537,0.494095410342,1074
538,538,-2.17775756256,1076
539,539,-0.247761234774,1078
540,540,-0.785655770239,1080
541,541,0.943395384938,1082
542,542,1.50031784403,1084
543,543,-0.904835947028,1086
544,544,-0.934850508248,1088
545,545,-0.0579970134136,1090
546,546,-0.111658533502,1092
547,547,-1.35635924071,1094
548,548,0.894839233634,1096
549,549,0.473129434587,1098
550,550,-0.465808379688,1100
551,551,0.380291767723,1102
552,552,1.38529276289,1104
553,553,-0.522065833127,1106
554,554,0.703234007495,1108
555,555,0.737799120254,1110
556,556,-1.26659208827,1112
557,557,-0.542052031229,1114
558,558,0.0670337239588,1116
559,559,0.930735776361,1118
560,560,-0.283960134742,1120
561,561,0.389177784026,1122
562,562,-0.453198747813,1124
563,563,0.335529058509,1126
564,564,1.53062771971,1128
565,565,0.09516867345,1130
566,566,0.92384247978,1132
567,567,-0.787722780351,1134
568,568,-1.04123170188,1136
569,569,-1.89762505007,1138
570,570,0.0609100293471,1140
571,571,1.00560762373,1142
572,572,-0.577604336866,1144
573,573,0.0599535349337,1146
574,574,0.115068388915,1148
575,575,0.563142917626,1150
576,576,0.152138005742,1152
577,577,-0.468423385071,1154
578,578,-0.903875211209,1156
579,579,0.819860553486,1158
580,580,-1.54508266724,1160
581,581,1.01505643642,1162
582,582,1.75897057767,1164
583,583,1.19733964261,1166
584,584,1.37544697898,1168
585,585,0.800406223502,1170
586,586,1.8185353685,1172
587,587,1.6042209911,1174
588,588,0.127290913461,1176
589,589,0.83328081882,1178
590,590,0.459981436009,1180
591,591,1.80465375701,1182
592,592,0.70979113733,1184
593,593,0.812099784682,1186
594,594,1.79803723825,1188
595,595,-0.542174249884,1190
596,596,-0.786959642964,1192
597,597,0.108487439959,1194
598,598,-2.92085451603,1196
599,599,2.07440134794,1198
600,600,0.431537287323,1200
601,601,-0.454551772979,1202
602,602,-0.241583684998,1204
603,603,0.626279582824,1206
604,604,0.437637973522,1208
605,605,-1.19287445018,1210
606,606,1.17597995465,1212
607,607,1.04041359988,1214
608,608,3.57574430153,1216
609,609,-1.55812904455,1218
610,610,1.26769793914,1220
611,611,-0.896655152901,1222
612,612,0.247838022653,1224
613,613,-0.800957521968,1226
614,614,1.83154098945,1228
615,615,1.49695818794,1230
616,616,0.802097903208,1232
617,617,-1.62153160764,1234
618,618,-1.51965460295,1236
619,619,-0.719198510252,1238
620,620,0.72220179718,1240
621,621,-1.46729167814,1242
622,622,-0.546934659329,1244
623,623,-0.171021414303,1246
624,624,-1.02618472342,1248
625,625,-2.201621505,1250
626,626,-2.08072155457,1252
627,627,-0.266375369149,1254
628,628,1.82449055042,1256
629,629,0.124426941046,1258
630,630,-1.42674471982,1260
631,631,-0.563528413635,1262
632,632,-0.11072156664,1264
633,633,0.522460412314,1266
634,634,0.0623290541805,1268
635,635,0.117213997374,1270
636,636,0.884497577786,1272
637,637,2.41753011517,1274
638,638,0.79063966942,1276
639,639,1.20963463277,1278
640,640,0.572847494674,1280
641,641,-0.429085662515,1282
642,642,0.842690214715,1284
643,643,-0.0911797932117,1286
644,644,-0.275905638234,1288
645,645,1.65053436291,1290
646,646,0.332327498611,1292
647,647,1.21109680253,1294
648,648,0.257698467615,1296
649,649,-0.160672809056,1298
650,650,0.697077127959,1300
651,651,0.42796774338,1302
652,652,1.62975669259,1304
653,653,-0.0211563450804,1306
654,654,0.683489112251,1308
655,655,1.26440275508,1310
656,656,-0.594660323149,1312
657,657,1.12104455254,1314
658,658,-0.381060960969,1316
659,659,0.270258161296,1318
660,660,1.23557606127,1320
661,661,-0.128756376394,1322
662,662,2.70018540598,1324
663,663,0.57699346239,1326
664,664,2.76747286294,1328
665,665,0.0264349792238,1330
666,666,1.61842077396,1332
667,667,-0.410645984189,1334
668,668,-0.912924064655,1336
669,669,0.585088994852,1338
670,670,-0.197883585231,1340
671,671,-1.15464896063,1342
672,672,1.60604090993,1344
673,673,-0.583766432827,1346
674,674,-1.47553373046,1348
675,675,-0.681184861906,1350
676,676,-2.10148266657,1352
677,677,2.15657060184,1354
678,678,1.62998801914,1356
679,679,0.189846209288,1358
680,680,1.16273436376,1360
681,681,0.0402504931993,1362
682,682,-0.751978054707,1364
683,683,-0.71549074281,1366
684,684,-0.244161456485,1368
685,685,0.533106247482,1370
686,686,-1.50201963221,1372
687,687,0.217573940291,1374
688,688,-0.436069580016,1376
689,689,0.70978842533,1378
690,690,-0.254717966256,1380
691,691,-0.166418617041,1382
692,692,0.098189035751,1384
693,693,0.194784426103,1386
694,694,-0.474381923443,1388
695,695,0.607314527415,1390
696,696,-0.856266871485,1392
697,697,1.42421612149,1394
698,698,1.32021566969,1396
699,699,0.223119510408,1398
700,700,0.239018715534,1400
701,701,1.05828580178,1402
702,702,-0.0997300840105,1404
703,703,0.908274655245,1406
704,704,0.327569536393,1408
705,705,1.51087896092,1410
706,706,-0.358143680642,1412
707,707,-1.52025601526,1414
708,708,0.830773925345,1416
709,709,-0.70289383608,1418
710,710,0.0381385444917,1420
711,711,0.148722691092,1422
712,712,-0.314199204852,1424
713,713,0.524227624162,1426
714,714,0.00048041717474,1428
715,715,0.0320565839471,1430
716,716,0.556620293068,1432
717,717,-0.700025025813,1434
718,718,-0.0197757372783,1436
719,719,-0.82538910567,1438
720,720,1.39509476832,1440
721,721,-0.794450146701,1442
722,722,-0.687008551842,1444
723,723,0.534060889763,1446
724,724,-0.342285254562,1448
725,725,0.665167873892,1450
726,726,-0.319881286306,1452
727,727,-0.61489436067,1454
728,728,0.773551730616,1456
729,729,0.508130077944,1458
730,730,-0.434503117921,1460
731,731,-0.913061031209,1462
732,732,1.2792991781,1464
733,733,-0.517775308349,1466
734,734,-0.897617124989,1468
735,735,-0.548277011046,1470
736,736,0.620357541671,1472
737,737,-0.768467622573,1474
738,738,2.04927739951,1476
739,739,-0.152389351532,1478
740,740,0.266660664733,1480
741,741,0.276081199503,1482
742,742,-0.768390401553,1484
743,743,2.06330409363,1486
744,744,2.59307058146,1488
745,745,0.31651948041,1490
746,746,-1.40759472327,1492
747,747,3.07741404508,1494
748,748,0.406520090237,1496
749,749,0.422547022002,1498
750,750,0.819986503835,1500
751,751,-0.0441324770165,1502
752,752,0.0124760588819,1504
753,753,0.975604775293,1506
754,754,0.6499162612,1508
755,755,1.27177205785,1510
756,756,-1.06187101291,1512
757,757,1.45689026653,1514
758,758,0.915891480467,1516
759,759,0.215483445376,1518
760,760,-1.63015810227,1520
761,761,-2.12181309026,1522
762,762,-1.08353704078,1524
763,763,-1.12983588338,1526
764,764,-1.29374613205,1528
765,765,-0.512743452838,1530
766,766,-1.68378469637,1532
767,767,1.46709347162,1534
768,768,0.158167708839,1536
769,769,-0.0429599776229,1538
770,770,0.00808659052605,1540
771,771,0.580896318577,1542
772,772,1.51548420799,1544
773,773,1.05483183446,1546
774,774,-0.301204013883,1548
